Customer Terms,Item Number,Item Description,Stocking Multiple,Material Type,Stock or S/O
"ADV, Advantage, Fascia",11016A,1X10 16   ADVANTAGE PLUS S1S2E,EA,L,Stock
"ADV, Advantage, Fascia",11020A,1X10 20   ADVANTAGE PLUS S1S2E,EA,L,Stock
"ADV, Advantage, Fascia",11216A,1X12 16   ADVANTAGE PLUS S1S2E,EA,L,Stock
"ADV, Advantage, Fascia",11220A,1X12 20   ADVANTAGE PLUS S1S2E,EA,L,Stock
"ADV, Advantage, Fascia",1220A,1X2 20  ADVANTAGE PLUS S1S2E,EA,L,Stock
"ADV, Advantage, Fascia",1316A,1X3 16 ADVANTAGE PLUS S1S2E,EA,L,Stock
"ADV, Advantage, Fascia",1320A,1X3 20 ADVANTAGE PLUS S1S2E,EA,L,Stock
"ADV, Advantage, Fascia",1416A,1X4 16   ADVANTAGE PLUS S1S2E,EA,L,Stock
"ADV, Advantage, Fascia",1420A,1X4 20   ADVANTAGE PLUS S1S2E,EA,L,Stock
"ADV, Advantage, Fascia",1616A,1X6 16   ADVANTAGE PLUS S1S2E,EA,L,Stock
"ADV, Advantage, Fascia",1620A,1X6 20   ADVANTAGE PLUS S1S2E,EA,L,Stock
"ADV, Advantage, Fascia",1816A,1X8 16   ADVANTAGE PLUS S1S2E,EA,L,Stock
"ADV, Advantage, Fascia",1820A,1X8 20   ADVANTAGE PLUS S1S2E,EA,L,Stock
"ADV, Advantage, Fascia",21016A,2X10 16   ADVANTAGE PLUS S1S2E,EA,L,Stock
"ADV, Advantage, Fascia",21020A,2X10 20   ADVANTAGE PLUS S1S2E,EA,L,Stock
"ADV, Advantage, Fascia",21216A,2X12 16   ADVANTAGE PLUS S1S2E,EA,L,Stock
"ADV, Advantage, Fascia",21220A,2X12 20   ADVANTAGE PLUS S1S2E,EA,L,Stock
"ADV, Advantage, Fascia",21416A,2X14 16   ADVANTAGE PLUS S1S2E,EA,L,Stock
"ADV, Advantage, Fascia",21420A,2X14 20   ADVANTAGE PLUS S1S2E,EA,L,Stock
"ADV, Advantage, Fascia",2216A,2X2 16   ADVANTAGE PLUS S1S2E,EA,L,Stock
"ADV, Advantage, Fascia",2416A,2X4 16   ADVANTAGE PLUS S1S2E,EA,L,Stock
"ADV, Advantage, Fascia",2420A,2X4 20   ADVANTAGE PLUS S1S2E,EA,L,Stock
"ADV, Advantage, Fascia",2616A,2X6 16   ADVANTAGE PLUS S1S2E,EA,L,Stock
"ADV, Advantage, Fascia",2620A,2X6 20   ADVANTAGE PLUS S1S2E,EA,L,Stock
"ADV, Advantage, Fascia",2816A,2X8 16   ADVANTAGE PLUS S1S2E,EA,L,Stock
"ADV, Advantage, Fascia",2820A,2X8 20   ADVANTAGE PLUS S1S2E,EA,L,Stock
"ADV, Advantage, Fascia",11016AP,1X10 16   ADVANTAGE PLUS V-RUSTIC,EA,L,Stock
"ADV, Advantage, Fascia",1416AP,1X4 16   ADVANTAGE VT&G BEADED,EA,L,Stock
"ADV, Advantage, Fascia",1616AP,1X6 16   ADVANTAGE V/R TREATED,EA,L,Stock
"ADV, Advantage, Fascia",1616APB,1X6 16    ADV BEADED T&G TRTD,EA,L,Stock
"ADV, Advantage, Fascia",1816AP,1X8 16   ADVANTAGE V-RUSTIC,EA,L,Stock
"ADV, Advantage, Fascia",1820AP,1X8 20  ADVANTAGE V-RUSTIC,EA,L,Stock
"ADV, Advantage, Fascia",1216A,1X2 16  ADVANTAGE PLUS S1S2E,EA,L,S/O
"ADV, Advantage, Fascia",2220A,2X2 20  ADVANTAGE PLUS S1S2E,EA,L,S/O
"ADV, Advantage, Fascia",1816AR,3/4X8 16   ADVANTAGE PLUS RAB BEVEL,EA,L,S/O
"ADV, Advantage, Fascia",1816A3,1X8 16   ADVANTAGE PLUS 3 LAP,EA,L,S/O
"ADV, Advantage, Fascia",1620APB,1X6 20   ADVANTAGE BEADED T&G,EA,L,S/O
"Bor, Boral",1416BT,1X4 16    BORAL TRIM,EA,L,Stock
"Bor, Boral",1616BNG,1X6 16    BORAL NICKEL GAP,EA,L,Stock
"Bor, Boral",1616BT,1X6 16    BORAL TRIM,EA,L,Stock
"Bor, Boral",1616BVR,1X6 16    BORAL V-RUSTIC,EA,L,Stock
"Bor, Boral",1816BVR,1X8 16    BORAL V-RUSTIC,EA,L,Stock
"Bor, Boral",2216B,2X2 16     BODYGUARD,EA,L,Stock
"Bor, Boral",2416BT,2X4 16    BORAL TRIM,EA,L,Stock
"Bor, Boral",2616BT,2X6 16    BORAL TRIM,EA,L,Stock
"Bor, Boral",2816BT,2X8 16    BORAL TRIM,EA,L,Stock
Pine,1616TG,1X6 16      PINE VT&G REV,EA,L,Stock
Pine,1816PVR,1X8 16      SPF KD V-RUSTIC,EA,L,Stock
Cedar,2410WRC,2X4 10    WRC STK S4S DRY,EA,L,Stock
Cedar,2412WRC,2X4 12    WRC STK S4S DRY,EA,L,Stock
Cedar,2414WRC,2X4 14    WRC STK S4S DRY,EA,L,Stock
Cedar,2416WRC,2X4 16    WRC STK S4S DRY,EA,L,Stock
Cedar,2418WRC,2X4 18    WRC STK S4S DRY,EA,L,Stock
Cedar,2420WRC,2X4 20    WRC STK S4S DRY,EA,L,Stock
Cedar,248WRC,2X4 8    WRC STK S4S DRY,EA,L,Stock
Cedar,2610WRC,2X6 10    WRC STK S4S DRY,EA,L,Stock
Cedar,2612WRC,2X6 12    WRC STK S4S DRY,EA,L,Stock
Cedar,2614WRC,2X6 14    WRC STK S4S DRY,EA,L,Stock
Cedar,2616WRC,2X6 16    WRC STK S4S DRY,EA,L,Stock
Cedar,2618WRC,2X6 18    WRC STK S4S DRY,EA,L,Stock
Cedar,2620WRC,2X6 20    WRC STK S4S DRY,EA,L,Stock
Cedar,268WRC,2X6 8    WRC STK S4S DRY,EA,L,Stock
Cedar,2810WRC,2X8 10    WRC STK S4S DRY,EA,L,Stock
Cedar,2812WRC,2X8 12    WRC STK S4S DRY,EA,L,Stock
Cedar,2814WRC,2X8 14    WRC STK S4S DRY,EA,L,Stock
Cedar,2816WRC,2X8 16    WRC STK S4S DRY,EA,L,Stock
Cedar,2820WRC,2X8 20    WRC STK S4S DRY,EA,L,Stock
Cedar,288WRC,2X8 8    WRC STK S4S DRY,EA,L,Stock
Cedar,CS1,CEDAR SHINGLES #1  (4),EA,L,Stock
"DF, Douglas Fir, Madera, Post, Girder, FJ, Plumb, Rim",1010DFL,10X10    DF 1 & BTR S4S,LF,L,Stock
"DF, Douglas Fir, Madera, Post, Girder, FJ, Plumb, Rim",1012DFL,10X12    DF 1 & BTR S4S,LF,L,Stock
"DF, Douglas Fir, Madera, Post, Girder, FJ, Plumb, Rim",1014DFL,10X14   DF 1 & BTR S4S,LF,L,Stock
"DF, Douglas Fir, Madera, Post, Girder, FJ, Plumb, Rim",1016DFL,10X16   DF 1 & BTR S4S,LF,L,Stock
"DF, Douglas Fir, Madera, Post, Girder, FJ, Plumb, Rim",1212DFL,12X12   DF 1 & BTR S4S,LF,L,Stock
"DF, Douglas Fir, Madera, Post, Girder, FJ, Plumb, Rim",1214DFL,12X14    DF 1 & BTR S4S,LF,L,Stock
"DF, Douglas Fir, Madera, Post, Girder, FJ, Plumb, Rim",1414DFL,14X14   DF 1 & BTR S4S,LF,L,Stock
"DF, Douglas Fir, Madera, Post, Girder, FJ, Plumb, Rim",1616DFL,16X16   DF 1 & BTR S4S,LF,L,Stock
"DF, Douglas Fir, Madera, Post, Girder, FJ, Plumb, Rim",81010DF1,8X10 10   DF 1 & BTR S4S,EA,L,Stock
